807, 5
868, 6
896, 9
503, 8
886, 4
821, 1
950, 3
546, 6
729, 4
683, 9
541, 4
495, 4
697, 5
582, 7
570, 2
560, 8
553, 3
489, 1
596, 4
573, 3
637, 6
590, 9
937, 4
582, 4
946, 7
641, 1
673, 7
573, 3
624, 2
658, 5
907, 1
794, 6
522, 5
670, 5
735, 6
583, 8
730, 3
518, 5
969, 1
975, 6
921, 7
498, 9
892, 7
676, 7
785, 1
720, 1
851, 3
808, 4
549, 4
964, 8
665, 9
670, 9
617, 8
544, 6
929, 5
507, 7
973, 2
595, 6
751, 6
959, 3
663, 5
962, 9
536, 5
840, 6
645, 3
897, 2
809, 3
858, 5
736, 3
857, 1
530, 9
961, 7
505, 4
868, 6
912, 5
722, 7
563, 1
958, 1
899, 8
660, 4
555, 3
811, 7
543, 3
711, 6
565, 1
921, 7
639, 3
721, 3
756, 8
738, 6
734, 5
638, 8
695, 3
546, 7
909, 9
580, 8
933, 6
581, 2
740, 5
752, 9
933, 9
673, 2
891, 6
844, 1
877, 5
675, 9
849, 5
916, 8
624, 5
978, 6
821, 3
786, 1
731, 9
885, 5
655, 5
726, 5
907, 9
820, 6
667, 5
818, 6
866, 7
668, 3
934, 8
675, 6
754, 3
760, 3
590, 6
968, 8
633, 2
857, 7
576, 9
829, 7
643, 9
885, 5
857, 1
589, 3
789, 8
808, 3
601, 3
812, 1
730, 4
573, 1
945, 3
545, 6
581, 8
588, 9
507, 7
727, 6
683, 2
791, 4
610, 6
489, 6
696, 5
927, 7
932, 2
841, 9
680, 1
770, 5
537, 5
768, 9
662, 5
979, 6
908, 3
703, 7
905, 9
678, 8
561, 3
794, 7
777, 8
979, 4
557, 2
668, 1
684, 2
655, 9
561, 6
811, 7
708, 7
604, 8
638, 8
851, 7
685, 3
794, 5
868, 5
743, 5
701, 1
652, 5
740, 5
562, 8
501, 2
826, 8
614, 5
509, 3
912, 7
495, 8
761, 9
629, 4
967, 8
889, 1
614, 8
626, 3
858, 5
639, 8
800, 8
754, 2
497, 3
642, 5
762, 6
803, 5
863, 9
502, 8
668, 6
838, 3
507, 1
618, 9
722, 2
943, 9
586, 1
708, 7
793, 8
928, 7
732, 7
838, 4
949, 5
727, 2
644, 1
844, 7
787, 5
820, 8
955, 5
562, 3
733, 9
944, 8
658, 9
567, 7
788, 9
904, 1
524, 4
625, 2
894, 2
828, 1
659, 7
524, 7
848, 8
514, 2
920, 2
601, 2
853, 3
638, 8
565, 3
801, 3
700, 3
